paradigm,n_items,w_max,answer,op
bf,8,8,252,130
bf,8,12,212,85
bf,8,16,258,148
bf,8,20,213,142
bf,8,24,217,133
bf,8,28,140,86
bf,8,32,230,206
bf,12,8,152,314
bf,12,12,196,238
bf,12,16,125,344
bf,12,20,160,249
bf,12,24,357,505
bf,12,28,196,357
bf,12,32,244,330
bf,16,8,214,714
bf,16,12,185,892
bf,16,16,235,435
bf,16,20,353,966
bf,16,24,261,819
bf,16,28,334,2021
bf,16,32,487,13748
bf,20,8,310,1925
bf,20,12,295,2001
bf,20,16,302,1529
bf,20,20,303,3268
bf,20,24,364,2246
bf,20,28,216,1334
bf,20,32,402,9980
bf,24,8,280,2419
bf,24,12,346,7026
bf,24,16,327,6676
bf,24,20,289,2805
bf,24,24,425,7918
bf,24,28,317,4285
bf,24,32,324,4789
bf,28,8,224,1968
bf,28,12,345,3514
bf,28,16,357,4429
bf,28,20,315,16155
bf,28,24,393,5897
bf,28,28,307,2828
bf,28,32,376,16703
bf,32,8,351,5935
bf,32,12,482,88282
bf,32,16,351,16188
bf,32,20,349,9275
bf,32,24,388,9821
bf,32,28,521,15082
bf,32,32,357,12704
bt,8,8,252,257
bt,8,12,189,115
bt,8,16,258,134
bt,8,20,200,124
bt,8,24,133,159
bt,8,28,140,75
bt,8,32,188,153
bt,12,8,150,527
bt,12,12,196,315
bt,12,16,125,937
bt,12,20,160,318
bt,12,24,357,387
bt,12,28,190,349
bt,12,32,174,245
bt,16,8,214,568
bt,16,12,185,1426
bt,16,16,235,1372
bt,16,20,353,2364
bt,16,24,261,658
bt,16,28,289,2062
bt,16,32,450,719
bt,20,8,310,2377
bt,20,12,225,4515
bt,20,16,302,1365
bt,20,20,256,3601
bt,20,24,319,3569
bt,20,28,180,1572
bt,20,32,333,3392
bt,24,8,259,4893
bt,24,12,322,2895
bt,24,16,327,4917
bt,24,20,255,8128
bt,24,24,316,4854
bt,24,28,317,5093
bt,24,32,244,8531
bt,28,8,224,5373
bt,28,12,342,9116
bt,28,16,357,7770
bt,28,20,275,17066
bt,28,24,340,11324
bt,28,28,307,8689
bt,28,32,344,4759
bt,32,8,313,6936
bt,32,12,462,95419
bt,32,16,351,16673
bt,32,20,346,32461
bt,32,24,354,6904
bt,32,28,420,13956
bt,32,32,320,7036
dpb,8,8,252,142
dpb,8,12,212,186
dpb,8,16,258,272
dpb,8,20,213,340
dpb,8,24,217,384
dpb,8,28,140,412
dpb,8,32,230,570
dpb,12,8,152,200
dpb,12,12,196,268
dpb,12,16,125,386
dpb,12,20,160,464
dpb,12,24,357,608
dpb,12,28,196,692
dpb,12,32,244,738
dpb,16,8,214,262
dpb,16,12,185,418
